"Benchmark,Agent_Scaffold,Model,Pct_Resolved,Cost_USD,Cost_Type,Source"
"SWE-bench Verified,mini-SWE-agent,Claude 4.5 Opus (high reasoning),76.80%,$0.07 (estimated),per task avg,swebench.com (Bash Only) via failingfast.io"
"SWE-bench Verified,mini-SWE-agent,MiniMax M2.5 (high reasoning),75.80%,$0.07,per task avg,swebench.com (Bash Only) via failingfast.io"
"SWE-bench Verified,mini-SWE-agent,Gemini 3 Flash (high reasoning),75.80%,$0.06,per task avg,swebench.com (Bash Only) via failingfast.io"
"SWE-bench Verified,mini-SWE-agent,Claude 4.5 Opus medium (20251101),74.40%,$0.72,per task avg,swebench.com (Bash Only) via coconote.app"
"SWE-bench Verified,mini-SWE-agent,Gemini 3 Pro Preview (2025-11-18),74.20%,$0.46,per task avg,swebench.com (Bash Only) via coconote.app"
"SWE-bench Verified,mini-SWE-agent,GPT-5.2 (2025-12-11) (high reasoning),71.80%,$0.52,per task avg,swebench.com (Bash Only) via coconote.app"
"SWE-bench Verified,mini-SWE-agent,Claude 4.5 Sonnet (20250929),70.60%,$0.56,per task avg,swebench.com (Bash Only) via coconote.app"
"SWE-bench Verified,mini-SWE-agent,GPT-5.2 (2025-12-11),69.00%,$0.27,per task avg,swebench.com (Bash Only) via coconote.app"
"SWE-bench Verified,mini-SWE-agent,GPT-5 (2025-08-07) (medium reasoning),65.00%,$0.28,per task avg,swebench.com (Bash Only) via coconote.app"
"SWE-bench Verified,mini-SWE-agent,Kimi K2 Thinking,63.40%,$0.44,per task avg,swebench.com (Bash Only) via coconote.app"
"SWE-bench Verified,mini-SWE-agent,DeepSeek V3.2 Reasoner,60.00%,$0.03,per task avg,swebench.com (Bash Only) via coconote.app"
"SWE-bench Verified,mini-SWE-agent,GPT-5-mini (2025-08-07) (medium reasoning),~60%,$0.036,per task avg (total ~$18 for 500 instances),swebench.com blog post-250808-gpt5"
"SWE-bench Verified,mini-SWE-agent,GPT-5-nano (2025-08-07) (medium reasoning),~30%,$0.015,per task avg,swebench.com blog post-250808-gpt5"
"SWE-bench Verified,mini-SWE-agent,GLM-4.7,not reported,$0.05,per task avg,swebench.com (Bash Only) via failingfast.io"
"SWE-bench Verified,Sonar Foundation Agent,Claude Opus 4.5,79.20%,$1.26,per task avg,sonarsource.com press release (Feb 2026)"
"SWE-bench Verified,Sonar Foundation Agent,Claude Opus 4.5,79.20%,$1.90,per task avg,prnewswire.com (official swebench.com submission)"
"SWE-bench Verified,OpenHands CodeAct,o3-mini,43.70%,$0.63,per task avg (total $314 for 500 instances),x.com/xingyaow_ (Jan 2025)"
"SWE-bench Verified,Moatless Tools,Claude 4 Sonnet,70.80%,$0.63,per task avg,github.com/aorwall/moatless-tools"
"SWE-bench Verified,CodeMonkeys,Claude 3.5 Sonnet + Qwen2.5-Coder-32B,57.40%,$4.60,per task avg (total ~$2300 for 500 instances),arxiv.org/abs/2501.14723 (Stanford)"
"SWE-bench Verified,AutoCodeRover v2,GPT-4o (implied),46.20%,<$0.70,per task avg,github.com/AutoCodeRoverSG/auto-code-rover"
"SWE-bench Lite,SWE-agent,GPT-4 (1106),18.00%,$2.51,per task avg,MASAI paper Table 1 (openreview.net/pdf?id=NSINt8lLYB)"
"SWE-bench Lite,AutoCodeRover,GPT-4 (0125),19.00%,$1.30,per task avg,MASAI paper Table 1"
"SWE-bench Lite,AutoCodeRover,GPT-4 (gpt-4-0125-preview),16.11%,$0.435,per task avg,arxiv.org/html/2404.05427v1"
"SWE-bench Lite,OpenDevin CodeAct (w/ hints),GPT-4o,25.00%,$1.50,per task avg*,MASAI paper Table 1 (*computed from trajectories)"
"SWE-bench Lite,OpenDevin CodeAct v1.5,gpt-4o-2024-05-13,16.70%,$1.50,per task avg,arxiv.org/abs/2407.16741 (OpenDevin paper)"
"SWE-bench Lite,OpenDevin CodeAct v1.8,gpt-4o-mini-2024-07-18,7.00%,$0.01,per task avg,arxiv.org/abs/2407.16741 (OpenDevin paper)"
"SWE-bench Lite,Aider,GPT-4o + Claude 3 Opus,26.33%,$3.18,per task avg*,MASAI paper Table 1 (*computed from trajectories)"
"SWE-bench Lite,Agentless v1.0,GPT-4o,27.33%,$0.34,per task avg,arxiv.org/abs/2407.01489; github.com/OpenAutoCoder/Agentless"
"SWE-bench Lite,Agentless v1.5,GPT-4o,32.00%,$0.70,per task avg,arxiv.org/abs/2407.01489"
"SWE-bench Lite,Agentless Lite 1.0,Voyage-Code-3 + GPT-4o,32.33%,$0.21,per task avg,github.com/sorendunn/Agentless-Lite"
"SWE-bench Lite,CodeR,GPT-4 (1106),28.33%,$3.09,per task avg,MASAI paper Table 1"
"SWE-bench Lite,MASAI,GPT-4o,28.33%,$1.96,per task avg,arxiv.org/abs/2406.11638 (MASAI paper)"
"SWE-bench Lite,OpenHands CodeAct,Claude 3.5 Sonnet,27.00%,$0.30,per task avg,all-hands.dev blog (Oct 2024)"
"SWE-bench Lite,OpenHands CodeAct,DeepSeek v2.5,~15%,$0.003,per task avg,all-hands.dev blog (Oct 2024)"
"SWE-bench Lite,Moatless Tools v0.0.1,GPT-4o,24.00%,$0.13,per task avg (~$40 total for 300 instances),pypi.org/project/moatless/0.0.1/"
"SWE-bench Lite,Moatless Tools v0.0.2,Claude 3.5 Sonnet,26.70%,$0.17,per task avg,fxis.ai tutorial"
"SWE-bench Lite,Moatless Tools,Claude 3.5 Sonnet,39.00%,$0.14,per task avg,medium.com/@te2be"
"SWE-bench Lite,Moatless Tools,DeepSeek V3,30.70%,$0.01,per task avg,medium.com/@te2be"
"SWE-bench Lite,AutoCodeRover v2,GPT-4o (implied),30.67%,<$0.70,per task avg,github.com/AutoCodeRoverSG/auto-code-rover"
"SWE-bench Lite,SWE-agent,GPT-4 (gpt-4-0125-preview),12.47%,$0.741,per task avg,arxiv.org/html/2404.05427v1 (AutoCodeRover paper)"
"SWE-bench Lite,Moatless Tools,GPT-4o (implied),23.33%,$0.13,per task avg,MASAI paper Table 1"
"SWE-bench Full,AppMap Navie,GPT-4o,14.60%,$0.88,per task avg,appmap.io/blog (Jun 2024)"
"SWE-bench Full,SWE-agent,GPT-4 Turbo,12.47%,$4.00,per task budget cap (not avg),SWE-agent NeurIPS 2024 paper"
"SWE-bench Lite,AppMap Navie,GPT-4o,21.67%,~$0.88,per task avg,appmap.io/blog (Jun 2024)"
"SWE-bench+,SWE-Agent,GPT-4 (1106),0.55%,$0.24,per task avg,arxiv.org/html/2410.06992v2"
"SWE-bench+,SWE-RAG,GPT-4 (1106),0.73%,$0.05,per task avg,arxiv.org/html/2410.06992v2"
"SWE-bench+,AutoCodeRover v20240620,GPT-4o (2024-05-13),3.83%,$0.46,per task avg,arxiv.org/html/2410.06992v2"
"SWE-bench Multimodal,SWE-agent M,GPT-4o,12.20%,$2.94,per task avg,arxiv.org/html/2410.03859v1 Table 3"
"SWE-bench Multimodal,SWE-agent M,Claude 3.5 Sonnet,11.40%,$3.11,per task avg,arxiv.org/html/2410.03859v1 Table 3"
"SWE-bench Multimodal,SWE-agent JS,GPT-4o,9.20%,$0.99,per task avg,arxiv.org/html/2410.03859v1 Table 3"
"SWE-bench Multimodal,SWE-agent JS,Claude 3.5 Sonnet,12.00%,$3.11,per task avg,arxiv.org/html/2410.03859v1 Table 3"
"SWE-bench Multimodal,SWE-agent Base,GPT-4o,12.00%,$2.07,per task avg,arxiv.org/html/2410.03859v1 Table 3"
