model,provider,accuracy_pct,cost_per_task_usd,release_ym,scaffold_context,source,source_url,retrieved,benchmark,notes
Claude Opus 4.6 (thinking),Anthropic,79.2,1.688,2026-02,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
GPT-5.4,OpenAI,77.2,1.156,2026-03,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Gemini 3 Flash,Google,76.2,0.415,2026-02,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Claude Sonnet 4.6,Anthropic,76.2,1.441,2026-02,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
GPT-5.2,OpenAI,75.4,1.951,2025-12,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
GPT-5.3 Codex,OpenAI,75.2,0.931,2026-01,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Claude Opus 4.5,Anthropic,74.6,1.695,2025-11,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Claude Opus 4.5 (thinking),Anthropic,74.2,1.571,2025-11,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Grok 4.20 (reasoning),xAI,74.2,0.631,2026-03,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Gemini 3 Pro,Google,71.6,1.779,2026-02,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
GPT-5.1 Codex Max,OpenAI,71.0,1.559,2025-11,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
MiniMax M2.5 Lightning,MiniMax,70.4,0.401,2026-01,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Qwen3.5 Plus (thinking),Alibaba,70.4,0.938,2026-02,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
GPT-5.1 Codex,OpenAI,70.4,0.704,2025-11,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
Claude Sonnet 4.5 (thinking),Anthropic,69.8,1.266,2025-09,Standardised agentic loop (bash + file editor tools),vals.ai,https://www.vals.ai/benchmarks/swebench,2026-03-13,SWE-bench Verified,Directly scraped from page JSON
